Metric,Validation (Best),Test
Loss,2.9028,2.8457
Hit@1,0.0000,0.5000
Hit@3,0.3333,0.5000
Hit@5,0.6667,0.5000
Hit@10,0.6667,1.0000
MRR,0.2120,0.5625
Samples,3,2
