Metric,Validation (Best),Test
Loss,2.6444,2.8056
Hit@1,0.1897,0.2078
Hit@3,0.4483,0.3766
Hit@5,0.5172,0.5065
Hit@10,0.8103,0.7273
MRR,0.3740,0.3476
Samples,58,77
