Metric,Validation (Best),Test
Loss,3.0853,2.9960
Hit@1,0.1351,0.1067
Hit@3,0.3108,0.2533
Hit@5,0.4324,0.3867
Hit@10,0.6757,0.6667
MRR,0.2822,0.2596
Samples,74,75
