Metric,Validation (Best),Test
Loss,2.9046,3.0768
Hit@1,0.1282,0.1519
Hit@3,0.2949,0.3038
Hit@5,0.4615,0.4557
Hit@10,0.7949,0.7468
MRR,0.2956,0.2966
Samples,78,79
