Metric,Validation (Best),Test
Loss,3.3173,3.4622
Hit@1,0.0317,0.0282
Hit@3,0.1111,0.1831
Hit@5,0.2698,0.2958
Hit@10,0.5873,0.5915
MRR,0.1697,0.1773
Samples,63,71
