Metric,Validation (Best),Test
Loss,3.8930,3.0435
Hit@1,0.0833,0.0000
Hit@3,0.1667,0.0000
Hit@5,0.1667,0.1667
Hit@10,0.3333,0.6667
MRR,0.1466,0.1448
Samples,12,6
