Metric,Validation (Best),Test
Loss,3.6860,2.7869
Hit@1,0.2857,0.0000
Hit@3,0.2857,0.3333
Hit@5,0.2857,0.3333
Hit@10,0.2857,0.3333
MRR,0.3047,0.2192
Samples,7,3
