Metric,Validation (Best),Test
Loss,2.7566,2.8661
Hit@1,0.1646,0.0563
Hit@3,0.3671,0.3380
Hit@5,0.5316,0.5211
Hit@10,0.8228,0.7465
MRR,0.3409,0.2637
Samples,79,71
