Metric,Validation (Best),Test
Loss,4.2773,3.0799
Hit@1,0.0000,0.0000
Hit@3,0.0000,0.0000
Hit@5,0.0000,0.2500
Hit@10,0.0000,0.5000
MRR,0.0390,0.1233
Samples,4,8
