Metric,Validation (Best),Test
Loss,3.3310,2.8687
Hit@1,0.1111,0.0000
Hit@3,0.1111,0.0000
Hit@5,0.2222,0.2000
Hit@10,0.6667,0.8000
MRR,0.2114,0.1474
Samples,9,5
