Metric,Validation (Best),Test
Loss,3.4639,3.4837
Hit@1,0.0968,0.0462
Hit@3,0.1774,0.1692
Hit@5,0.2903,0.2769
Hit@10,0.5161,0.4769
MRR,0.2138,0.1801
Samples,62,65
