Metric,Validation (Best),Test
Loss,3.9781,3.2991
Hit@1,0.0000,0.0000
Hit@3,0.0000,0.0769
Hit@5,0.1250,0.2308
Hit@10,0.1250,0.6154
MRR,0.0595,0.1360
Samples,8,13
