Metric,Validation (Best),Test
Loss,3.3831,3.5465
Hit@1,0.0625,0.0290
Hit@3,0.2500,0.1739
Hit@5,0.3438,0.2464
Hit@10,0.5625,0.4058
MRR,0.2244,0.1588
Samples,64,69
